Date,Crop_Name,State,District,Market_Name,Season,Previous_Day_Price,Market_Arrival_Quantity,Rainfall,Temperature_Max,Temperature_Min,Humidity,Festival_Flag,Price,Previous_7_Day_Avg_Price,Previous_30_Day_Avg_Price,Price_Trend,Production_Quantity,Yield_Per_Hectare,Stock_Available,Soil_Moisture,Demand_Index,Number_of_Buyers,Min_Price,Max_Price,Modal_Price,Fuel_Price,Transportation_Cost,Inflation_Rate,Harvest_Season_Flag,Week_Number
2022-09-29,Tomato,Madhya Pradesh,Indore,Depalpur,Kharif,3206.53,920.3,167.8,31.0,26.5,83.4,0,3176.86,2914.8272959713986,3369.929029887575,Decreasing,46148.501519551086,5.7242134906959015,2544.288809844872,40.49649634685784,52.06870888980971,33,2737.72903270911,3725.852830748448,3176.86,101.06731738727416,1455.738779036471,4.711011876038422,1,39
2024-05-12,Wheat,Maharashtra,Nagpur,Katol,Zaid,2263.89,2146.2,39.8,41.2,25.6,48.7,0,2332.62,2340.737358735513,2366.1307980556985,Decreasing,32535.21760533275,5.773849886344492,8973.568631271273,65.51034415533127,95.7848904159713,29,2146.838863370069,2510.724831663046,2332.62,93.68534421702687,1750.5047597375903,6.191814206899638,0,19
2022-04-14,Wheat,Haryana,Ambala,Ambala_City,Rabi,2280.49,845.3,10.5,40.0,23.2,55.7,0,2334.65,2298.164181515122,2269.211876797593,Decreasing,4794.633168081563,7.048953803126827,1606.8094115516922,16.288093570071158,109.8047229651308,98,2142.432536531359,2620.1761123421884,2334.65,97.46716736081392,1506.2463507378231,6.620710144231553,1,15
2023-02-03,Tomato,Maharashtra,Nashik,Lasalgaon,Rabi,3125.01,3705.9,1.2,22.3,13.3,56.7,0,3159.56,3363.7618748956297,3028.569429239401,Increasing,18090.347271249233,7.693181378960575,9577.168197690513,64.86097723247505,72.3686147578241,70,2820.202044223448,3496.485984568284,3159.56,95.74030337540351,1317.9520796727236,7.592059437143433,0,5
2021-10-10,Potato,Punjab,Jalandhar,Jalandhar_City,Kharif,1227.42,3660.6,0.2,36.8,27.5,35.2,0,1285.38,1353.6604647922647,1257.531735430003,Increasing,18221.804665310396,1.4194774914915753,1856.3276366928749,63.987599427434276,149.10832399276634,8,1213.8516786736802,1373.3678117558914,1285.38,92.39617633390387,1079.0732315734615,5.272709963669898,0,40
2025-06-29,Potato,Haryana,Ambala,Ambala_City,Kharif,1170.56,4814.7,244.2,30.1,26.2,83.2,0,1217.13,1322.3524968173056,1230.5134871739021,Increasing,12783.248440009083,7.464612701393138,7136.948668643302,17.932311527553395,110.00707345477835,75,1130.659863833659,1392.3225982709187,1217.13,99.13101783129191,1528.3346091254318,6.726622607350803,1,26
2024-01-03,Tomato,Uttar Pradesh,Kanpur,Bilhaur,Rabi,3528.57,2435.6,16.8,17.3,6.1,66.3,0,3432.87,3468.9949450169456,3490.9946641360452,Decreasing,25260.735640898307,3.7684916231961187,2523.223867086181,50.000644989855516,126.48830556713726,92,2880.697427376647,4009.9584331725655,3432.87,103.74338169556704,1235.9130578808574,6.160109664322112,1,1
2023-12-11,Wheat,Haryana,Karnal,Taraori,Rabi,2653.85,2738.8,1.0,22.9,5.2,62.6,0,2596.47,2437.19190351459,2333.994050597108,Stable,15012.81158047636,3.1533075620347706,4784.176263748034,49.251256095844475,141.49458385121198,72,2323.5448446856362,3089.773287535303,2596.47,92.29611369102734,1082.4137167388494,6.973807111045732,0,50
2023-02-25,Onion,Haryana,Karnal,Karnal_Mandi,Rabi,2886.73,462.9,0.6,15.1,8.6,65.5,0,2980.08,3271.9310151871864,2882.245791142589,Stable,21757.541103895277,5.9050343406190695,1933.6443451114708,32.699881821451925,128.8611657850567,97,2770.806155948247,3253.7066941923904,2980.08,90.9312570448173,1920.1924077735741,5.601616813751951,1,8
2025-12-18,Potato,Madhya Pradesh,Indore,Indore_Mandi,Rabi,1160.86,2552.2,18.8,23.5,12.9,65.2,0,1202.69,1216.4941251504808,1297.1104919959373,Increasing,7394.380681563808,2.397425377430441,202.94584142888922,28.461872669551713,71.21894306210407,17,986.22858169172,1402.731849434183,1202.69,96.39874648079682,1820.276832953098,6.4634944937350465,0,51
